Title,URL,Channel,Channel URL,Thumbnail,Duration
"Rammstein, live 17.08.1997 @ Bizarre Festival, Cologne, Germany",,RammWiki,https://www.youtube.com/@RammWikiTV,https://i.ytimg.com/vi/2Al4q1WNwxg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAH1Qz3fqwVXGjKmIWYJUXmoqvYqA,N/A
Этого ВЕЩЕСТВА Боится весь Криминал!,,Thoisoi,https://www.youtube.com/@Thoisoi,https://i.ytimg.com/vi/JWWUipegl5A/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA5vz208mB7Z9Ho-yEJ12SqICA9mQ,N/A
Проявка и сканирование цветной фотопленки в домашних условиях | Plustek 135 и Negative Lab Pro,,Aleksandr Science,https://www.youtube.com/@AleksandrScience,https://i.ytimg.com/vi/RL4dZ12jSyM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCxBxsQxywYwRex1rF-T9FcY_q3EA,N/A
День из жизни диспетчера железной дороги,,PRO МЕТРО,https://www.youtube.com/@PROMETRO,https://i.ytimg.com/vi/JkdnugUO0tE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAUpDewONfm2azkFJOp0IA82q3-Fg,N/A
СОЗДАЛ ИИ АГЕНТА С ПАМЯТЬЮ RAG + [шаблон для N8N],,ИИздец,https://www.youtube.com/@aizdec,,N/A
Зачем снимать на Sony A7III вместо RED и ARRI. Выпуск 1. Сделано Оператором.,,Оператор Карбанов,https://www.youtube.com/@operatorkarbanov,,N/A
Видак из Останкино. 30 лет не включался.,,VCD,https://www.youtube.com/@VCD-Channel,,N/A
🔥 Экстремальный метод ОЧИСТКИ ВОДЫ. На случай апокалипсиса.,,Огненное ТВ,https://www.youtube.com/@ognennoetv,,N/A
How to Speak English Like a Slav ► Russian Accent vs Engish,,Mark SLAV,https://www.youtube.com/@markslavleader,,N/A
100 Кругов по МКАД на Каршеринге (10.000 КМ),,NN,https://www.youtube.com/@NAEBNET,,N/A
Я сделал НЕобычный барабан!,,Левша,https://www.youtube.com/@LevshaYT,,N/A
TempleOS - Система гениального шиза,,Wing13,https://www.youtube.com/@Wing13,,N/A
Our Planet | High Seas | FULL EPISODE | Netflix,,Netflix,https://www.youtube.com/@Netflix,,N/A
"Всё, что вы не знали о работе машиниста метро",,Раскадровка,https://www.youtube.com/@rskdrvk,,N/A
SimWorld 737 Overhead Demonstration,,captdave82,https://www.youtube.com/@captdave82,,N/A
☣️Как ХИМИКАТАМИ извлекают МАСЛО. (Экстрагирование масла растворителем) Рафинирование.,,ПироХим,https://www.youtube.com/@PiroXim,,N/A
ТОП-7 ЛОВУШЕК в Яндекс.Играх. ЛИЧНЫЙ ОПЫТ разработки HTML5 игр,,Путь Инди,https://www.youtube.com/@theindieway,,N/A
История воды: от акведуков до наших дней,,Redroom,https://www.youtube.com/@RedRoomLIMB,,N/A
Рушана @ Новая сцена Live 28.12.23,,Хот Культур,https://www.youtube.com/@hotcultur,,N/A
Can You Control Lightning with Sound?,,The Action Lab,https://www.youtube.com/@TheActionLab,,N/A
Что НУЖНО ЗНАТЬ про Вселенные GTA,,Alexander PolyAK,https://www.youtube.com/@AlexanderPolyAK,https://i.ytimg.com/vi/yTwzk9hx-Lo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBn04_xLE_YZJfMi6EXFPKpJ1xvcA,N/A
DEFTONES Mix - Outer Space,,Defgi,https://www.youtube.com/@defgi6995,https://i.ytimg.com/vi/9TPY2Jyyplk/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGUgUyhEMA8=&rs=AOn4CLBF8S7XitylMQ7-lluSvLlEYrI5yg,N/A
Первый модуль ядра на C и инструменты для его разглядывания • Live coding,,Olga Pavlova,https://www.youtube.com/@olgapavlova,https://i.ytimg.com/vi/hpVPlJ0J2tw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDZZxmA1FYrhaP2iK2Us2B6sKZHwg,N/A
